Sex, Paid Loans, Income, Country,Label
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
M,1,Low,US,0
M,1,Low,Other,0
F,1,Low,US,0
F,1,Low,Other,0
M,1,Medium,US,1
M,1,Medium,Other,1
M,2,Medium,US,1
M,2,Medium,Other,1
M,2,Low,US,1
M,2,Low,Other,1
F,1,Medium,US,1
F,1,Medium,Other,0
F,2,Low,US,1
F,2,Low,Other,0
F,2,Medium,US,1
F,2,Medium,Other,1
